名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
清远高品会.威尼斯spa别墅七房九床,"https://www.airbnb.cn/rooms/10222768?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,7间卧室,最多住15人,1980,3,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡","清远市高品旅游度假恒大旅游城森林温泉别墅位于清远恒大旅游城,是原生态国际旅游度假胜地,位于中国首席4A级景区别墅典范——清远恒大金碧天下,位于清远市清新区清连高速往北首个出口右转1KM即到达(即龙颈出口)距白云机场只需35分钟车程,距清远市区清新区15分钟､背靠笔架山森林瀑布4A风景区,独揽万亩连绵群山,私藏百亩人工生态湖､2公里黄金湖岸线､3公里中央景观大道､10大世界级的主题园林及风情广场,充分演绎了大自然的宁静与皇室奢华的气派｡","清远市高品度假恒大旅游城温泉森林泉别墅方圆15公里内有多个国家级景区:恒大足球学校､恒大足球基地, 太和古洞､黄腾峡漂流､ 玄真漂流､ 清新温矿泉､ 牛鱼嘴风景区､ 飞霞风景名胜区､ 清泉湾生态旅游区､ 清远笔架山､ 薰衣草世界､清远黄腾峡漂流 清远金龙峡漂流､ 飞来寺等,景点数量实在数不胜数!",,,,
清远市高品会.奥斯卡spa别墅六房8床,"https://www.airbnb.cn/rooms/10921197?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,8张床,6间卧室,最多住12人,1580,0,"高品会清远恒大旅游城spa度假别墅位于风景优美的清新区恒大旅游城内,由八幢欧陆风格､超高颜值的欧式别墅组成, 彰显豪华典范,富丽堂皇,房子开阔大气,,欧式风格与现代科技完美展现,典型的欧风墙体与田园家具配搭,浑然一体｡每个房间带电视或电脑､或手机连接蓝牙的音晌系统!大厅配置5.1声道DTS环绕音响;独立KTV房､蒸汽桑拿､一次可容纳多人使用的私家spa水疗恒温浴池,提供韩式和碳式烧烤炉,成套现代化厨房设备,自动麻将､室内高尔夫练习､.瑜伽､VR虚拟现实3d魔镜､摇篮､飞镖､天猫魔盒:乒乓球､设备一应俱全!   所有户型的别墅内设私家spa水疗恒温浴池,独立ktv房间,每客赠送spa水疗恒温浴一次,独立ktv房早上9时开放,  晚上23时关机｡温馨提示:别墅内所有设施不收取任何费用.全天候免费停车｡",,,,,,
1,"https://www.airbnb.cn/rooms/11715562?s=lL8DwLxp&guests=1&adults=1
",普通民宅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住1人,520,0,"路边,但也不吵｡是新楼,很干净",,,,,,
"清远恒大金碧天下独栋别墅,可容纳多人派对或聚会｡麻将ktv烧烤等设备齐全","https://www.airbnb.cn/rooms/14018177?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,9张床,5间卧室,最多住13人,1880,2,"别墅在清远清新区龙颈出口,恒大世纪旅游城内,与恒大皇马足球学校为邻｡绿化､空气好｡设运动中心､娱乐中心､会议中心､饮食中心等｡是聚会､休闲度假､自驾游首选｡","交通方便,设施齐备,区街整洁,绿化良好,空气清新,休闲宁静,鸟语花香｡","社区每日都有清远市区､广州市区的往返接送大巴(收费),和社区内穿梭小巴(免费)｡恒大金碧天下六大中心和别墅区内可免费停车｡",,,,
"清远恒大金碧天下度假别墅悠然惠墅 适合团体度假 家庭度假 父母度假 空气清新到不吸白不吸,6-8人","https://www.airbnb.cn/rooms/14394244?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,6张床,3间卧室,最多住8人,1180,3,"联排别墅,上下两层,位于恒大金碧天下福山六街30栋03号,在清远恒大世纪旅游城内｡
      度假就是要找别墅啊,别问为什么,难不成平时高楼林的“火柴盒
子”里,假期还找这样的隔空层?那必须找个接地气的地儿啊,还得是前后有院,空气清新到能洗肺,平时积攒的什么什么2.5,统统要吐出去｡配套还是内外都完善,团体啊､家庭啊､父母啊周末假日来到这,室内卡拉OK､烧烤､自动麻将就等您来摸､来唱､来烤啊｡前后花园有草有木,这个春季已经种花施肥,花草繁盛的郁葱小院,那想不怡情都难｡外部大社区配套有健康中心､娱乐中心､美食中心等,湖边更有晨曦美景,落日余晖｡
      社区内有华润超市､菜市场､各色菜系的小馆子;什么?想吃高档的,那就去六星酒店和美食中心啊,毛家饭店､粤式早茶､自助餐,甚至提前定个湖边烧烤,浪漫西餐,那都是看玛尼的事啊｡
     惠墅,取自女猪脚名字的惠字,怎么着也包含了优惠的意思,装修为简欧风格,啥是简欧?就是有情调啊,哈哈,看图｡平时价1680元/天,周末价1880元/天,大节日2180元/天｡
    惠墅靠近大社区配套设施,湖光山色,慢生活充电模式:)来吧｡","悠然别墅6号惠墅,离大社区的公共配套很近,湖边散步､划船3､5分钟路程;社区的健康中心､娱乐中心､美食中心､六星级酒店餐饮服务随时可享｡",园区内有中巴;社区有大巴定时穿梭广清之间｡,,,,
碧桂园清泉城山顶度假别墅,"https://www.airbnb.cn/rooms/14409765?s=lL8DwLxp&guests=1&adults=1
",整套公寓,4个卫生间,6张床,4间卧室,最多住11人,880,4,"我的房源靠近优美的景色和艺术和文化｡因为户外空间､舒适的床､厨房,您一定会爱上我的房源｡我的房源适合情侣､商务旅行者､有小孩的家庭､大型团体｡",,,,,,
风景宜人的豪华独栋五房八床别墅,"https://www.airbnb.cn/rooms/14904087?s=lL8DwLxp&guests=1&adults=1
",整套房子,4个卫生间,9张床,5间卧室,16位及更多房客,3680,0,"位于广州的后花园,交通方便的温泉之乡,空气清新,风景宜人,豪华精致的装修,可烧烤,可泡温泉,可打麻将等,适合一家大小及同学朋友相聚",,,,,,
"清平村居——客家泥砖房老宅,清净带内花园的大院子","https://www.airbnb.cn/rooms/15153279?s=lL8DwLxp&guests=1&adults=1
",客用套房里的独立房间,1间卫生间,1张床,1间卧室,最多住3人,120,7,"院子远离城市,适合几家人一起出行玩(最多可以住20多人),有完整的空气能热水等配套设施,庭院里有9间房间每间房间1.5米的床,有独立的厨房,可以做饭菜,院子与外部隔绝,整个院子除了花园外都是水泥地,另外还有一些木工设备可以做,户主可以免费带到附近飞瀑原始山谷景区探险(中途的午餐需要额外费用),另外院子本来在上个世纪的时候是木工房,还有很多工具,可以提供一定程度的木工教程｡

免费的服务(可提前跟房东沟通线路等):
免费的本地全陪向导带着附近免费的风景游玩

可以提供收费服务(需要提前预定):
1､木工课程
2､餐､烧烤","环境优美,地处广州北部众多森林保护区当中,另外清平村居地处原来的东明镇中心,不过这个镇已经撤销,所以不算特别热闹｡","通过公共交通工具可以到达,但是每天只有3趟车来往于市区,自驾离高速路口10几公里｡",,,,
"迷人的英伦风景区,五星级的舒适洋房","https://www.airbnb.cn/rooms/15209414?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,4张床,3间卧室,最多住6人,353,7,"房间共有三个卧室,主卧1.8*2米舒适大皮床,带独立卫浴间;次卧1.5*2米木质榻榻米,小卧室趣味木床上下床｡每个房间都有冷暖空调,房间为整套,有全自动高档麻将机,冰箱,洗衣机,电磁炉,史密斯电热水器,客厅圆柱式冷暖空调,观景阳台,楼层视野好｡","房间在碧桂园清泉城最里面,过了英伦小镇左转再右转,正对着的保安亭进来,直行5米,左转进地下车库,正对着地下车库的门口即是5号楼电梯,按电梯上28层,输入入住当天发送给您的门锁密码即可进入了｡","3路公交车碧桂园清泉城英伦小镇站｡
停地下停车场比较方便,进保安亭直行5米,左手边是地下停车场入口,直行,最里面一排是电梯,共3部电梯入口,最左边的是您要去的5号楼电梯｡
停车收费标准:1小时之内免费,超过1小时1元1小时,单次12小时3元封顶｡也就是您停24小时6元左右｡",,,,
羊角山顶的静谧之地,"https://www.airbnb.cn/rooms/15347992?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,4张床,2间卧室,最多住8人,680,5,"位于碧桂园清泉城别墅区山最高处,一览无遗的景观",,,,,,
