名称,评论时间,评论详情
清远高品会.威尼斯spa别墅七房九床,2019-02-12T07:07:14.000Z,"还不错,齐全"
清远高品会.威尼斯spa别墅七房九床,2018-12-15T08:03:49.000Z,"体验挺好,落东西在别墅,还主动联系到我帮忙寄回来"
清远高品会.威尼斯spa别墅七房九床,2017-10-02T05:51:15.000Z,"很好的别墅,推荐!"
"清远恒大金碧天下独栋别墅,可容纳多人派对或聚会｡麻将ktv烧烤等设备齐全",2017-04-03T01:34:25.000Z,不错
"清远恒大金碧天下独栋别墅,可容纳多人派对或聚会｡麻将ktv烧烤等设备齐全",2016-10-05T02:20:01.000Z,"房子我们很满意!房东的服务很周到,态度非常好!其实在清远,大家租恒大还可以用他们业主卡优惠价格去运动中心玩!这样子的行程不会太单调!而且房子住着也舒服!建议大家过去"
"清远恒大金碧天下度假别墅悠然惠墅 适合团体度假 家庭度假 父母度假 空气清新到不吸白不吸,6-8人",2018-10-04T05:44:41.000Z,"还不错,值得出游!"
"清远恒大金碧天下度假别墅悠然惠墅 适合团体度假 家庭度假 父母度假 空气清新到不吸白不吸,6-8人",2017-08-27T05:46:42.000Z,"这次是带家人出去游玩的,房东和管家姐姐人都很好,细心解答了很多东西,上门服务都很及时｡
恒大位置距离古龙峡超级近,但是比较偏远,像是市外郊区,但是整体的入住率不高,所以显得格外寂静,不过和一大家子人出去玩,地点其实相当合适｡"
"清远恒大金碧天下度假别墅悠然惠墅 适合团体度假 家庭度假 父母度假 空气清新到不吸白不吸,6-8人",2017-05-29T07:36:24.000Z,体验很棒!
碧桂园清泉城山顶度假别墅,2016-10-30T00:57:31.000Z,"不要去,就一句,如果你可以接受没有热水,没有温泉,没有所谓的“服务”,还有一层又一层的“业主”,那么你就去尝试一下地狱的感觉吧｡"
碧桂园清泉城山顶度假别墅,2016-09-16T03:06:15.000Z,"房子装修是新的,环境不错,床和被子最好~关键在于和谁一起玩,我们玩的很High,烧烤唱K打麻将,适合志同道合的朋友一起来玩~如果不是一团和气的朋友,房间的分配上､周边可玩的不那么丰富的情况下,就不好玩了"
碧桂园清泉城山顶度假别墅,2016-08-30T05:54:22.000Z,"别墅在山脚下,空气很好,房子是新的,干净舒服,有厨房可以自己煮食,还可以烧烤,唱K,服务很好,推荐｡"
碧桂园清泉城山顶度假别墅,2017-01-13T01:42:07.000Z,The yard of host is just suitable for us. Everything in house is very  appropriate and sweet.That is laudable!
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2018-10-05T06:49:37.000Z,"带的小盆友和宠物狗来的,这里的风景很原始,空气很棒,食物很新鲜,带的小盆友摘了柿子,农田里玩耍,很新奇的体验,在国庆哪里都多人的地方找到这么一个安静度假的地方真不错,建议多几家人一起来"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2018-05-01T17:18:45.000Z,"房子安静程度一流,蟋蟀和青蛙晚上会叫,刚刚开始不太习惯,但是慢慢就觉得这才是农村特有的起息,感谢房东阿星的体贴招待和指引,五一期间那里人都多,找一个安静的地方看看书,这里会是个很好的选择,如果有三五知己一起,就更加好｡因为是在农村,小咬会 比较多,建议多穿长袖｡"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2017-10-05T07:29:42.000Z,"安静,空气清新,简单纯净的村居生活适合放空自己,让小朋友体验一种新的生活方式,因为下雨没有爬山,下次再来"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2017-04-30T07:41:14.000Z,"喜欢干净的住宿环境,孩子们很新奇,很喜欢!体验了没有体验过的生活,收获不少!"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2017-01-30T01:01:35.000Z,"位置其实很好找,沿着县道一直走就能找到,院子很安静,干净整洁,跟描述的一样,洗澡也方便,有五个淋浴间,热水充足,厨房设施齐全,可以做真正的柴火饭哦:)房主还可以带你去买走地鸡,可以去摘果子,可以去摘菜,价格都很实惠,对了,过年期间还可以放烟花｡还有一点很重要,房主一直全程跟踪服务,十分的体贴,三十二个赞｡这个房子很适合几个带小朋友的家庭一起来体验不一样的生活,下次有机会再来"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2017-01-29T03:52:51.000Z,"很高兴能在这间大宅院里度过农历新年,也是我第一次使用airbnb,非常感谢屋主提供的无微不至的帮助,新年期间还带着我们一班人到山上摘桔子,希望能介绍更多的人来这里体验"
"清平村居——客家泥砖房老宅,清净带内花园的大院子",2016-10-16T03:37:33.000Z,"房东一家都很热情,房子就是最实实在在的传统村屋,简简单单的收拾得很干净｡"
"迷人的英伦风景区,五星级的舒适洋房",2018-08-19T08:07:42.000Z,"虽然办理入住时遇到些小问题,但也很快
得到解决,因此房东也给我们一些小优惠,谢谢房东｡环境安静,装修风格很好｡
"
"迷人的英伦风景区,五星级的舒适洋房",2017-12-31T05:13:45.000Z,"适合家庭自驾,小盈帮我们预订了温泉,还可以｡"
"迷人的英伦风景区,五星级的舒适洋房",2017-07-02T13:47:56.000Z,"Very nice experience, thank you!
非常棒的入住体验｡公寓位于碧桂园英伦小镇,风景优美,环境舒适｡房子是新交楼的套房,崭新干净,配套齐全,拖鞋牙刷牙膏沐浴露等配套齐全｡小盈热情周到,亲自带到房间｡非常感谢｡
需改进的地方就是有些房间的床垫太硬,而且床垫的胶膜没撕掉｡"
"迷人的英伦风景区,五星级的舒适洋房",2016-10-09T01:07:08.000Z,很不错的住宿体验 风景很好 房间干净整洁 
"迷人的英伦风景区,五星级的舒适洋房",2016-10-04T01:16:43.000Z,满意 环境优美 空气清新
"迷人的英伦风景区,五星级的舒适洋房",2017-04-23T08:48:38.000Z,"在小盈的房子過了一個舒適的週末,房東想得很周到,缺少的東西很快就送了過來,家人都很滿意,如果主人房裡也有電視機就完美喇,我們會再來的,也會介紹俾朋友,謝謝小盈"
"迷人的英伦风景区,五星级的舒适洋房",2016-11-01T01:00:32.000Z,Very nice apartment with quite place.
羊角山顶的静谧之地,2019-02-11T07:56:41.000Z,"东西比较齐,被子枕头多 挺舒服的.推荐"
羊角山顶的静谧之地,2017-01-31T01:54:23.000Z,"房东Nice,房子很干净,而且房子的装修也很用心,房东除了打点好我们的房间外,还告诉我们附近好玩好吃的地方｡这是与五星酒店区别的地方,简直像一个朋友每时每刻再为你服务｡"
羊角山顶的静谧之地,2016-11-27T01:08:59.000Z,"挺干净整洁的,位置不错风景好,就是房间有点少,不够大,整理不错,暖气给力,还能烧烤打麻将"
羊角山顶的静谧之地,2016-11-13T03:57:35.000Z,"房东姐姐人超好,很细心｡花园也超大｡只是开始我脑补错了,以为是两层楼｡不过还是很推荐｡家人玩的很愉快｡"
羊角山顶的静谧之地,2016-11-06T01:46:29.000Z,房东很热情好客!良好的沟通!
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2019-03-03T06:06:21.000Z,还不错
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2019-02-14T05:42:29.000Z,"帮朋友订的,朋友说不错"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2019-02-11T05:21:46.000Z,"舒适的环境,独特的设计"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-09-30T05:13:15.000Z,"空气好､环境好､美女房东小盈人更好,总之住的非常嗨皮!下次来还会找小盈｡"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-07-18T07:15:32.000Z,房子很好!
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-07-08T06:32:58.000Z,"房源位于楼宇顶层,观景好,而且边位,窗户多,通风采光好｡空气清新,环境优美安静｡阳台够大,阁楼有特色,适合一家大小度假｡美中不足是次卧没有空调｡"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-04-30T07:24:26.000Z,"很棒,房东姐姐人很好声音好听,玩的很开心"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2018-03-25T06:27:20Z,"美女老板服务好,房间干净整洁,还有意想不到的惊喜!下次还选美女小盈,哈!"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2017-02-01T03:10:55Z,"房子挺不错的,性价比很高,我个人住得很舒服,空气很好,房东也比较照顾我们｡就是小区还在建设,会所很小,娱乐设施一般,只有一个羽毛球场和两个乒乓球台,一个泳池,健身室没什么玩,主要还是小卖部都没有,运动需要喝水的小伙伴注意自己带水了,附近有超市,停车收费一晚上5元~~不过如果想要运动或者度假,我觉得是完全足够了,必须开车来,如果坐车会很不方便｡下次还会再来"
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",2016-12-04T00:34:47Z,"环境很给力,窗外的风景超好,而且整个碧桂园园区环境也是超级好,很完美的一次体验,房子和照片完全一致,设施很齐全,房东非常非常好,说话很温柔的美女,哈哈哈哈哈,去清远的话一定要去体验一次,对了,温泉也很给力,用美女房东给的业主卡便宜了好多钱,总之就是好,完美的旅行｡｡｡"
