商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铜                  ,cuall                         ,-1,期货公司  ,329497,73558,期货公司  ,353746,-477,期货公司  ,352473,-542,
铜                  ,cuall                         ,0,非期货公司,475,202,非期货公司,1096,-105,非期货公司,2369,-40,
铜                  ,cu1806                        ,1,金瑞期货  ,3333,588,金瑞期货  ,8850,-520,五矿经易  ,10096,-1297,
铜                  ,cu1806                        ,2,中信期货  ,3211,107,中信期货  ,5301,-589,中信期货  ,4493,-532,
铜                  ,cu1806                        ,3,中银国际  ,3012,1632,铜冠金源  ,4029,-34,金瑞期货  ,3938,-769,
铜                  ,cu1806                        ,4,东证期货  ,2951,-2561,国泰君安  ,3549,-665,格林大华  ,3814,-390,
铜                  ,cu1806                        ,5,鲁证期货  ,2870,738,国贸期货  ,3519,-31,中粮期货  ,3132,404,
铜                  ,cu1806                        ,6,海通期货  ,2724,765,中粮期货  ,2849,-330,海通期货  ,2753,-37,
铜                  ,cu1806                        ,7,五矿经易  ,2459,1120,五矿经易  ,2702,-98,华安期货  ,2645,-80,
铜                  ,cu1806                        ,8,国投安信  ,2149,1358,华安期货  ,1852,-202,建信期货  ,2623,-189,
铜                  ,cu1806                        ,9,铜冠金源  ,2112,462,迈科期货  ,1438,-21,国投安信  ,1760,161,
铜                  ,cu1806                        ,10,华安期货  ,1588,-272,方正中期  ,1386,-101,中银国际  ,1497,1,
铜                  ,cu1806                        ,11,华泰期货  ,1360,-290,一德期货  ,1322,15,云晨期货  ,1468,90,
铜                  ,cu1806                        ,12,迈科期货  ,1340,733,南华期货  ,1283,-45,兴业期货  ,1406,-132,
铜                  ,cu1806                        ,13,国泰君安  ,1176,-475,建信期货  ,1229,-68,兴证期货  ,1309,-84,
铜                  ,cu1806                        ,14,上海中期  ,1126,-233,永安期货  ,1138,-227,铜冠金源  ,1290,-156,
铜                  ,cu1806                        ,15,永安期货  ,1056,-68,弘业期货  ,1006,-14,鲁证期货  ,1233,71,
铜                  ,cu1806                        ,16,中粮期货  ,984,458,海通期货  ,1004,-5,广发期货  ,1184,-597,
铜                  ,cu1806                        ,17,方正中期  ,960,426,上海大陆  ,956,1,一德期货  ,1107,44,
铜                  ,cu1806                        ,18,银河期货  ,914,145,华泰期货  ,761,28,永安期货  ,913,-217,
铜                  ,cu1806                        ,19,光大期货  ,892,-70,银河期货  ,747,-403,中信建投  ,905,42,
铜                  ,cu1806                        ,20,中融汇信  ,856,373,国投安信  ,671,-16,中钢期货  ,756,-164,
铜                  ,cu1807                        ,1,中信期货  ,16271,5520,金瑞期货  ,14104,-563,海通期货  ,7465,-74,
铜                  ,cu1807                        ,2,海通期货  ,12330,4371,永安期货  ,5942,103,中信期货  ,7254,-179,
铜                  ,cu1807                        ,3,国投安信  ,11289,4224,中信期货  ,4262,188,永安期货  ,5966,470,
铜                  ,cu1807                        ,4,东证期货  ,8254,705,弘业期货  ,3148,-33,五矿经易  ,5147,612,
铜                  ,cu1807                        ,5,上海中期  ,5973,799,国海良时  ,2764,283,建信期货  ,4698,21,
铜                  ,cu1807                        ,6,中银国际  ,5049,-1943,国泰君安  ,2644,101,金瑞期货  ,4428,489,
铜                  ,cu1807                        ,7,中融汇信  ,5040,1296,兴证期货  ,2280,325,格林大华  ,3595,206,
铜                  ,cu1807                        ,8,兴证期货  ,4915,1731,华安期货  ,2099,73,宏源期货  ,2747,-29,
铜                  ,cu1807                        ,9,金瑞期货  ,4894,2086,南华期货  ,2061,-56,广发期货  ,2735,250,
铜                  ,cu1807                        ,10,鲁证期货  ,4742,1603,方正中期  ,1857,-249,混沌天成  ,2688,10,
铜                  ,cu1807                        ,11,方正中期  ,4314,-1268,倍特期货  ,1843,0,银河期货  ,2628,-3,
铜                  ,cu1807                        ,12,华泰期货  ,4024,325,银河期货  ,1720,293,华泰期货  ,2062,-57,
铜                  ,cu1807                        ,13,国泰君安  ,4017,556,一德期货  ,1666,129,东海期货  ,2055,3,
铜                  ,cu1807                        ,14,中辉期货  ,3784,569,海通期货  ,1605,160,方正中期  ,1857,-41,
铜                  ,cu1807                        ,15,铜冠金源  ,3232,1282,国投安信  ,1591,109,通惠期货  ,1758,164,
铜                  ,cu1807                        ,16,南华期货  ,2978,975,上海大陆  ,1385,-209,中粮期货  ,1723,-21,
铜                  ,cu1807                        ,17,华鑫期货  ,2943,1596,东海期货  ,1379,-130,瑞达期货  ,1635,32,
铜                  ,cu1807                        ,18,永安期货  ,2917,368,五矿经易  ,1238,-43,一德期货  ,1525,-971,
铜                  ,cu1807                        ,19,集成期货  ,2871,2825,华泰期货  ,1226,187,兴业期货  ,1510,356,
铜                  ,cu1807                        ,20,长江期货  ,2786,325,英大期货  ,1224,440,中金期货  ,1353,-143,
铜                  ,cu1808                        ,1,中信期货  ,4621,1310,金瑞期货  ,6323,15,混沌天成  ,3869,0,
铜                  ,cu1808                        ,2,东证期货  ,4492,-1911,银河期货  ,5319,-122,一德期货  ,3210,548,
